iter	Logloss
0	0.6433722994
1	0.6013477734
2	0.5638487654
3	0.5314704034
4	0.5041080247
5	0.4799060847
6	0.4589573413
7	0.4408268849
8	0.4249989528
9	0.4113590168
10	0.3988101852
11	0.3876551201
12	0.3781944996
13	0.3699582507
14	0.3621999559
15	0.3562357529
16	0.3504147652
17	0.3447354222
18	0.3397136243
19	0.335335593
20	0.3315733576
21	0.3278814209
22	0.3245231206
23	0.3214481371
24	0.3183410769
25	0.3156335428
26	0.3131528053
27	0.3110312224
28	0.3091212522
29	0.3071235119
30	0.3052815256
31	0.3036074184
32	0.3018976797
33	0.3004335042
34	0.2990447255
35	0.2977964341
36	0.2964647542
37	0.2952503031
38	0.2941518133
39	0.2931107804
40	0.2921080247
41	0.2911755401
42	0.2903291722
43	0.2895437059
44	0.2888086695
45	0.2879971892
46	0.2873163029
47	0.2866122961
48	0.2859298666
49	0.2853333609
50	0.2847591215
51	0.2841981371
52	0.2837279541
53	0.2832398038
54	0.2827387566
55	0.2823024416
56	0.2818497299
57	0.2814229773
58	0.2810629134
59	0.2807280368
60	0.28034375
61	0.2800226797
62	0.2797314815
63	0.2794135527
64	0.2790960373
65	0.2788178737
66	0.2785439539
67	0.2782994378
68	0.278044946
69	0.2778336916
70	0.2776201775
71	0.2773877866
72	0.2771526124
73	0.2769377756
74	0.2767262456
75	0.2765265928
76	0.2763606978
77	0.2761869764
78	0.2760046296
79	0.2758486552
80	0.2756965664
81	0.2755645392
82	0.2754395392
83	0.2752695933
84	0.2751329916
85	0.2750074129
86	0.2748832672
87	0.274758653
88	0.2746338183
89	0.2745158455
90	0.2744112379
91	0.2743071539
92	0.2741940311
93	0.2740868607
94	0.2739959215
95	0.2739070767
96	0.2738235229
97	0.2737362489
98	0.2736503527
99	0.2735582011
100	0.2734809028
101	0.2733927745
102	0.2733130236
103	0.2732590112
104	0.2731701113
105	0.2731126819
106	0.273041832
107	0.2729694389
108	0.2729019235
109	0.2728481041
110	0.2727883598
111	0.2727306823
112	0.2726751819
113	0.2726275077
114	0.2725720624
115	0.2725193452
116	0.2724632661
117	0.2724139109
118	0.2723670084
119	0.272329806
120	0.2722833168
121	0.2722337963
122	0.2721928461
123	0.2721555886
124	0.2721077767
125	0.2720677359
126	0.272034116
127	0.2719943232
128	0.2719469246
129	0.2719047068
130	0.2718606151
131	0.271828869
132	0.2717946429
133	0.271762759
134	0.2717329696
135	0.2716938106
136	0.2716646825
137	0.2716377039
138	0.2716118827
139	0.2715781801
140	0.2715411155
141	0.2715210262
142	0.2714735725
143	0.2714518849
144	0.2714095569
145	0.2713837081
146	0.2713620205
147	0.2713342427
148	0.2713182044
149	0.2713011464
150	0.2712810847
151	0.2712574405
152	0.2712352293
153	0.2712081404
154	0.271181024
155	0.2711564429
156	0.2711253858
157	0.2710911321
158	0.2710674603
159	0.2710428516
160	0.2710201995
161	0.2710003307
162	0.2709801312
163	0.2709443342
164	0.2709249614
165	0.2709111276
166	0.2708931603
167	0.2708746418
168	0.2708553241
169	0.2708374394
170	0.2708260858
171	0.2708054178
172	0.2707886629
173	0.2707759314
174	0.270758653
175	0.2707244819
176	0.2707027943
177	0.2706886574
178	0.2706686508
179	0.2706623126
180	0.2706516479
181	0.2706369048
182	0.2706175044
183	0.2705863095
184	0.2705738812
185	0.2705542052
186	0.270538966
187	0.2705275573
188	0.2705159006
189	0.2705017912
190	0.270488481
191	0.2704758873
192	0.2704625772
193	0.27044472
194	0.2704336971
195	0.2704223435
196	0.2704097773
197	0.2704012346
198	0.2703882826
199	0.2703638393
200	0.2703567846
201	0.2703400573
202	0.2703262511
203	0.2703106261
204	0.2702992725
205	0.2702847773
206	0.2702730379
207	0.2702660108
208	0.2702546572
209	0.2702448192
210	0.2702358355
211	0.2702282848
212	0.2701701664
213	0.2701591986
214	0.2701513724
215	0.2701415895
